elo_rank,team,elo_rating
1,Spain,2080.2
2,Argentina,2073.6
3,France,2017.1
4,Portugal,1962.7
5,England,1960.9
6,Brazil,1956.1
7,Colombia,1946.1
8,Ecuador,1937.8
9,Germany,1921.4
10,Netherlands,1915.8
11,Japan,1911.3
12,Morocco,1907.3
13,Croatia,1899.7
14,Mexico,1898.6
15,Uruguay,1891.4
16,Turkey,1891.0
17,Italy,1883.5
18,Belgium,1866.4
19,Switzerland,1852.5
20,Paraguay,1851.5
21,Norway,1850.3
22,Senegal,1849.1
23,Denmark,1842.4
24,Australia,1839.7
25,Iran,1831.0
26,Algeria,1826.5
27,South Korea,1821.6
28,Canada,1817.5
29,Austria,1807.2
30,Yugoslavia,1805.4
31,Ukraine,1802.8
32,Nigeria,1799.6
33,Panama,1792.1
34,Jersey,1779.6
35,Russia,1779.2
36,Scotland,1773.0
37,Venezuela,1769.5
38,Uzbekistan,1769.2
39,USA,1756.1
40,Ivory Coast,1754.6
41,Egypt,1750.2
42,Serbia,1744.6
43,Greece,1742.0
44,Czech Republic,1739.5
45,Chile,1735.2
46,Hungary,1735.0
47,Czechoslovakia,1732.7
48,Jordan,1730.4
49,Poland,1725.3
50,Sweden,1722.8
51,Basque Country,1717.6
52,Iraq,1716.2
53,Peru,1715.8
54,Slovenia,1707.3
55,DR Congo,1706.8
56,Republic of Ireland,1705.2
57,Costa Rica,1702.4
58,Kosovo,1699.0
59,Wales,1696.7
60,German DR,1694.7
61,Tunisia,1694.4
62,Guernsey,1692.1
63,Cameroon,1686.0
64,Isle of Man,1678.8
65,Ynys Môn,1669.5
66,Slovakia,1668.8
67,Haiti,1667.3
68,Bolivia,1667.3
69,Honduras,1666.9
70,Saudi Arabia,1665.4
71,Mali,1665.3
72,New Zealand,1664.8
73,Israel,1661.2
74,Romania,1656.1
75,Northern Cyprus,1652.5
76,Burkina Faso,1649.8
77,Isle of Wight,1641.3
78,Padania,1636.7
79,Georgia,1636.4
80,Jamaica,1635.3
81,Cape Verde,1634.0
82,Occitania,1630.4
83,Bosnia & Herzegovina,1624.3
84,South Africa,1624.2
85,North Macedonia,1622.5
86,United Arab Emirates,1619.5
87,Guatemala,1615.4
88,Albania,1614.3
89,Iraqi Kurdistan,1607.4
90,Abkhazia,1607.2
91,Catalonia,1602.3
92,County of Nice,1595.2
93,Northern Ireland,1594.7
94,Kárpátalja,1591.3
95,Iceland,1588.7
96,Ghana,1588.2
97,Rhodes,1587.3
98,Syria,1586.4
99,Oman,1580.4
100,Palestine,1574.6
101,Tamil Eelam,1571.7
102,Finland,1570.3
103,New Caledonia,1568.2
104,Andalusia,1567.3
105,Suriname,1565.1
106,Kurdistan,1564.6
107,Belarus,1564.1
108,Kernow,1560.4
109,Réunion,1558.9
110,Ellan Vannin,1557.8
111,Curaçao,1557.3
112,Benin,1556.9
113,Angola,1554.0
114,Qatar,1550.6
115,Arameans Suryoye,1550.2
116,Panjab,1546.7
117,Guinea,1545.8
118,Zanzibar,1544.0
119,China,1543.5
120,Corsica,1541.9
121,Bahrain,1540.7
122,Zambia,1539.0
123,Maule Sur,1537.6
124,Yorkshire,1536.5
125,Artsakh,1533.9
126,Cascadia,1533.2
127,Bulgaria,1532.4
128,Menorca,1531.4
129,Chameria,1528.9
130,Galicia,1527.0
131,Gabon,1526.0
132,Trinidad and Tobago,1526.0
133,Crimea,1524.5
134,Biafra,1522.3
135,Uganda,1520.7
136,Tahiti,1519.8
137,Thailand,1519.6
138,Libya,1519.4
139,Gambia,1519.3
140,Quebec,1516.3
141,Felvidék,1515.0
142,Montenegro,1514.9
143,Asturias,1513.3
144,Surrey,1511.2
145,Elba Island,1510.4
146,Brittany,1510.4
147,Donetsk PR,1509.3
148,Guadeloupe,1509.0
149,Vietnam,1508.4
150,North Korea,1506.4
151,Canary Islands,1505.8
152,Parishes of Jersey,1505.3
153,Mapuche,1501.2
154,Monaco,1500.9
155,Central Spain,1500.4
156,Guyana,1500.2
157,Matabeleland,1499.5
158,Mozambique,1499.2
159,El Salvador,1497.5
160,Franconia,1496.8
161,Luhansk PR,1496.1
162,Saugeais,1496.0
163,Kazakhstan,1495.7
164,Délvidék,1493.8
165,South Ossetia,1493.5
166,Cilento,1492.9
167,Nicaragua,1491.9
168,Silesia,1491.2
169,Madagascar,1490.2
170,Shetland,1489.9
171,Ryūkyū,1489.7
172,Somaliland,1488.9
173,Sudan,1488.8
174,Madrid,1488.7
175,Western Armenia,1487.9
176,Papua New Guinea,1487.4
177,West Papua,1486.9
178,United Koreans in Japan,1486.8
179,Malaysia,1486.7
180,Seborga,1486.3
181,Togo,1484.1
182,Chechnya,1483.4
183,Kenya,1481.4
184,Sierra Leone,1481.0
185,Greenland,1479.2
186,Niger,1479.0
187,Yoruba Nation,1478.9
188,Sealand,1478.6
189,North Vietnam,1478.5
190,Åland Islands,1478.2
191,Kuwait,1473.9
192,Hmong,1473.0
193,Romani people,1472.3
194,Niue,1471.6
195,Zimbabwe,1470.7
196,Comoros,1470.5
197,South Yemen,1470.0
198,Palau,1469.7
199,Indonesia,1469.4
200,Martinique,1467.6
201,East Turkestan,1466.0
202,Kabylia,1465.3
203,Manchukuo,1464.5
204,Székely Land,1464.4
205,Vanuatu,1461.4
206,Gozo,1461.3
207,Aymara,1461.2
208,Ticino,1460.2
209,Western Isles,1457.7
210,Equatorial Guinea,1457.2
211,Saarland,1456.5
212,Lebanon,1456.0
213,Dominican Republic,1455.6
214,Republic of St. Pauli,1455.3
215,Mauritania,1453.6
216,Sápmi,1450.7
217,Fiji,1449.3
218,Rwanda,1448.6
219,Găgăuzia,1447.3
220,Mayotte,1446.1
221,Cuba,1445.6
222,Vatican City,1445.2
223,Namibia,1444.3
224,Kyrgyzstan,1443.2
225,Western Sahara,1442.5
226,Saint Barthélemy,1440.6
227,Tajikistan,1437.7
228,Two Sicilies,1436.4
229,Luxembourg,1435.0
230,Armenia,1432.1
231,Lesotho,1431.7
232,Estonia,1431.3
233,Faroe Islands,1429.1
234,Marshall Islands,1427.5
235,Provence,1426.6
236,Liberia,1425.2
237,Sark,1423.8
238,Malawi,1422.8
239,Raetia,1422.4
240,Botswana,1417.5
241,Orkney,1417.0
242,Ethiopia,1416.4
243,French Guiana,1416.1
244,Ambazonia,1415.4
245,Chagos Islands,1414.2
246,Micronesia,1406.8
247,Burundi,1405.2
248,Yemen DPR,1404.9
249,Gotland,1403.4
250,Western Australia,1399.9
251,Tanzania,1398.9
252,Azerbaijan,1397.3
253,Turkmenistan,1397.1
254,Central African Republic,1396.1
255,Cyprus,1389.8
256,Barawa,1387.7
257,Puerto Rico,1384.0
258,Vietnam Republic,1382.4
259,Guinea-Bissau,1382.0
260,Darfur,1381.8
261,Solomon Islands,1381.2
262,Hitra,1380.1
263,Saint Vincent and the Grenadines,1380.0
264,Saint Helena,1376.8
265,Saint Pierre and Miquelon,1374.5
266,Bermuda,1374.4
267,Sint Maarten,1371.5
268,Philippines,1367.2
269,Saare County,1358.2
270,Congo,1354.3
271,Malta,1350.9
272,Eswatini,1349.7
273,Moldova,1347.4
274,Yemen,1344.2
275,Kiribati,1341.8
276,Saint Martin,1339.7
277,Singapore,1336.0
278,Hong Kong,1335.7
279,Wallis Islands and Futuna,1335.0
280,Latvia,1325.8
281,Belize,1319.7
282,Grenada,1319.2
283,Lithuania,1317.5
284,Saint Kitts and Nevis,1313.8
285,Tibet,1310.9
286,Montserrat,1303.6
287,South Sudan,1303.5
288,Samoa,1300.9
289,Saint Lucia,1294.1
290,Tuvalu,1290.2
291,Chad,1287.1
292,Falkland Islands,1269.9
293,India,1259.7
294,Aruba,1259.3
295,Frøya,1253.4
296,Mauritius,1252.3
297,Cook Islands,1242.7
298,São Tomé and Príncipe,1239.3
299,Eritrea,1239.1
300,Afghanistan,1235.6
301,Dominica,1226.0
302,Bonaire,1212.8
303,Myanmar,1203.3
304,Barbados,1197.2
305,Bangladesh,1188.6
306,Antigua and Barbuda,1180.6
307,Pakistan,1176.2
308,Gibraltar,1176.2
309,Andorra,1168.1
310,Nepal,1167.4
311,Turks and Caicos Islands,1155.6
312,Tonga,1155.5
313,Djibouti,1139.9
314,Cayman Islands,1139.6
315,British Virgin Islands,1135.0
316,Somalia,1131.8
317,Alderney,1129.1
318,Cambodia,1128.6
319,Taiwan,1125.7
320,Northern Mariana Islands,1107.8
321,United States Virgin Islands,1090.5
322,Sri Lanka,1084.3
323,American Samoa,1081.2
324,Bahamas,1077.3
325,Seychelles,1074.9
326,Mongolia,1070.0
327,Guam,1068.5
328,Maldives,1066.0
329,Liechtenstein,1062.5
330,Anguilla,1038.8
331,Laos,1035.9
332,Brunei,1003.8
333,Timor-Leste,1001.8
334,San Marino,968.7
335,Macau,960.4
336,Bhutan,954.8
