team,stage,count
Algeria,Round of 16,1693
Algeria,Runner Up,188
Algeria,Group Stage,3505
Algeria,Round of 32,3453
Algeria,Winner,108
Algeria,Third Place,383
Algeria,Quarter-final,670
Algeria,Semi-final,0
Algeria,Final,0
Argentina,Round of 32,2542
Argentina,Round of 16,2663
Argentina,Group Stage,665
Argentina,Winner,1075
Argentina,Quarter-final,1318
Argentina,Third Place,976
Argentina,Runner Up,761
Argentina,Semi-final,0
Argentina,Final,0
Australia,Round of 16,1595
Australia,Group Stage,4020
Australia,Round of 32,3170
Australia,Third Place,269
Australia,Runner Up,136
Australia,Quarter-final,688
Australia,Winner,122
Australia,Semi-final,0
Australia,Final,0
Austria,Group Stage,4217
Austria,Round of 32,3155
Austria,Round of 16,1533
Austria,Third Place,303
Austria,Quarter-final,598
Austria,Runner Up,119
Austria,Winner,75
Austria,Semi-final,0
Austria,Final,0
Belgium,Round of 16,2370
Belgium,Group Stage,1673
Belgium,Round of 32,3649
Belgium,Third Place,609
Belgium,Quarter-final,1263
Belgium,Winner,190
Belgium,Runner Up,246
Belgium,Semi-final,0
Belgium,Final,0
Bosnia & Herzegovina,Group Stage,5331
Bosnia & Herzegovina,Round of 32,3505
Bosnia & Herzegovina,Quarter-final,228
Bosnia & Herzegovina,Round of 16,827
Bosnia & Herzegovina,Winner,12
Bosnia & Herzegovina,Third Place,79
Bosnia & Herzegovina,Runner Up,18
Bosnia & Herzegovina,Semi-final,0
Bosnia & Herzegovina,Final,0
Brazil,Group Stage,1070
Brazil,Winner,574
Brazil,Round of 16,1958
Brazil,Quarter-final,1619
Brazil,Third Place,724
Brazil,Round of 32,3576
Brazil,Runner Up,479
Brazil,Semi-final,0
Brazil,Final,0
Canada,Round of 32,5169
Canada,Third Place,437
Canada,Quarter-final,905
Canada,Group Stage,653
Canada,Round of 16,2446
Canada,Runner Up,217
Canada,Winner,173
Canada,Semi-final,0
Canada,Final,0
Cape Verde,Group Stage,6255
Cape Verde,Round of 32,2518
Cape Verde,Round of 16,854
Cape Verde,Quarter-final,266
Cape Verde,Third Place,76
Cape Verde,Winner,10
Cape Verde,Runner Up,21
Cape Verde,Semi-final,0
Cape Verde,Final,0
Colombia,Quarter-final,1472
Colombia,Round of 16,2027
Colombia,Round of 32,3516
Colombia,Runner Up,396
Colombia,Group Stage,1488
Colombia,Winner,416
Colombia,Third Place,685
Colombia,Semi-final,0
Colombia,Final,0
Croatia,Round of 16,2299
Croatia,Round of 32,3847
Croatia,Quarter-final,1163
Croatia,Group Stage,1704
Croatia,Third Place,503
Croatia,Winner,214
Croatia,Runner Up,270
Croatia,Semi-final,0
Croatia,Final,0
Curaçao,Group Stage,7091
Curaçao,Round of 32,2122
Curaçao,Round of 16,563
Curaçao,Quarter-final,163
Curaçao,Third Place,52
Curaçao,Runner Up,7
Curaçao,Winner,2
Curaçao,Semi-final,0
Curaçao,Final,0
Czech Republic,Group Stage,3684
Czech Republic,Round of 32,3949
Czech Republic,Round of 16,1370
Czech Republic,Quarter-final,576
Czech Republic,Third Place,262
Czech Republic,Winner,57
Czech Republic,Runner Up,102
Czech Republic,Semi-final,0
Czech Republic,Final,0
DR Congo,Quarter-final,417
DR Congo,Round of 32,2701
DR Congo,Group Stage,5743
DR Congo,Third Place,115
DR Congo,Round of 16,960
DR Congo,Winner,26
DR Congo,Runner Up,38
DR Congo,Semi-final,0
DR Congo,Final,0
Ecuador,Round of 32,3389
Ecuador,Round of 16,2158
Ecuador,Quarter-final,1447
Ecuador,Third Place,934
Ecuador,Group Stage,1156
Ecuador,Winner,463
Ecuador,Runner Up,453
Ecuador,Semi-final,0
Ecuador,Final,0
Egypt,Group Stage,3773
Egypt,Round of 32,3482
Egypt,Round of 16,1575
Egypt,Third Place,293
Egypt,Quarter-final,723
Egypt,Winner,60
Egypt,Runner Up,94
Egypt,Semi-final,0
Egypt,Final,0
England,Round of 32,3727
England,Group Stage,1291
England,Round of 16,2411
England,Winner,360
England,Quarter-final,1285
England,Third Place,601
England,Runner Up,325
England,Semi-final,0
England,Final,0
France,Quarter-final,1364
France,Round of 32,3198
France,Third Place,842
France,Runner Up,600
France,Group Stage,1209
France,Round of 16,2090
France,Winner,697
France,Semi-final,0
France,Final,0
Germany,Round of 32,3407
Germany,Runner Up,396
Germany,Round of 16,2057
Germany,Quarter-final,1307
Germany,Third Place,935
Germany,Group Stage,1447
Germany,Winner,451
Germany,Semi-final,0
Germany,Final,0
Ghana,Group Stage,7167
Ghana,Round of 32,2094
Ghana,Round of 16,566
Ghana,Quarter-final,124
Ghana,Third Place,35
Ghana,Runner Up,10
Ghana,Winner,4
Ghana,Semi-final,0
Ghana,Final,0
Haiti,Quarter-final,341
Haiti,Group Stage,6107
Haiti,Round of 32,2675
Haiti,Round of 16,757
Haiti,Third Place,70
Haiti,Runner Up,32
Haiti,Winner,18
Haiti,Semi-final,0
Haiti,Final,0
Iran,Round of 16,2025
Iran,Round of 32,3635
Iran,Group Stage,2480
Iran,Quarter-final,1093
Iran,Runner Up,173
Iran,Third Place,468
Iran,Winner,126
Iran,Semi-final,0
Iran,Final,0
Iraq,Round of 16,935
Iraq,Group Stage,5912
Iraq,Round of 32,2547
Iraq,Quarter-final,368
Iraq,Third Place,161
Iraq,Runner Up,56
Iraq,Winner,21
Iraq,Semi-final,0
Iraq,Final,0
Ivory Coast,Group Stage,3654
Ivory Coast,Round of 32,3599
Ivory Coast,Round of 16,1520
Ivory Coast,Quarter-final,663
Ivory Coast,Third Place,368
Ivory Coast,Runner Up,131
Ivory Coast,Winner,65
Ivory Coast,Semi-final,0
Ivory Coast,Final,0
Japan,Round of 32,3366
Japan,Round of 16,2477
Japan,Quarter-final,1073
Japan,Group Stage,1739
Japan,Third Place,761
Japan,Runner Up,310
Japan,Winner,274
Japan,Semi-final,0
Japan,Final,0
Jordan,Third Place,167
Jordan,Group Stage,5075
Jordan,Round of 32,3012
Jordan,Round of 16,1220
Jordan,Quarter-final,430
Jordan,Runner Up,59
Jordan,Winner,37
Jordan,Semi-final,0
Jordan,Final,0
Mexico,Winner,538
Mexico,Quarter-final,1327
Mexico,Group Stage,613
Mexico,Round of 16,2184
Mexico,Round of 32,4092
Mexico,Third Place,792
Mexico,Runner Up,454
Mexico,Semi-final,0
Mexico,Final,0
Morocco,Round of 32,3747
Morocco,Third Place,544
Morocco,Group Stage,2045
Morocco,Round of 16,1729
Morocco,Runner Up,322
Morocco,Quarter-final,1304
Morocco,Winner,309
Morocco,Semi-final,0
Morocco,Final,0
Netherlands,Round of 16,2561
Netherlands,Group Stage,1556
Netherlands,Third Place,799
Netherlands,Round of 32,3311
Netherlands,Quarter-final,1125
Netherlands,Winner,313
Netherlands,Runner Up,335
Netherlands,Semi-final,0
Netherlands,Final,0
New Zealand,Group Stage,5094
New Zealand,Round of 16,1166
New Zealand,Round of 32,3097
New Zealand,Quarter-final,434
New Zealand,Third Place,141
New Zealand,Runner Up,53
New Zealand,Winner,15
New Zealand,Semi-final,0
New Zealand,Final,0
Norway,Group Stage,2902
Norway,Round of 16,1813
Norway,Quarter-final,879
Norway,Round of 32,3521
Norway,Third Place,483
Norway,Runner Up,226
Norway,Winner,176
Norway,Semi-final,0
Norway,Final,0
Panama,Group Stage,2886
Panama,Round of 32,3965
Panama,Quarter-final,793
Panama,Round of 16,1885
Panama,Third Place,283
Panama,Winner,66
Panama,Runner Up,122
Panama,Semi-final,0
Panama,Final,0
Paraguay,Round of 32,3244
Paraguay,Group Stage,3596
Paraguay,Round of 16,1765
Paraguay,Third Place,280
Paraguay,Quarter-final,832
Paraguay,Winner,123
Paraguay,Runner Up,160
Paraguay,Semi-final,0
Paraguay,Final,0
Portugal,Round of 32,3418
Portugal,Group Stage,1397
Portugal,Quarter-final,1592
Portugal,Round of 16,2050
Portugal,Third Place,689
Portugal,Winner,432
Portugal,Runner Up,422
Portugal,Semi-final,0
Portugal,Final,0
Qatar,Third Place,28
Qatar,Group Stage,6909
Qatar,Round of 32,2482
Qatar,Round of 16,469
Qatar,Quarter-final,104
Qatar,Runner Up,4
Qatar,Winner,4
Qatar,Semi-final,0
Qatar,Final,0
Saudi Arabia,Group Stage,5758
Saudi Arabia,Round of 16,972
Saudi Arabia,Round of 32,2794
Saudi Arabia,Third Place,93
Saudi Arabia,Winner,11
Saudi Arabia,Quarter-final,339
Saudi Arabia,Runner Up,33
Saudi Arabia,Semi-final,0
Saudi Arabia,Final,0
Scotland,Round of 32,3564
Scotland,Round of 16,1273
Scotland,Group Stage,4041
Scotland,Quarter-final,692
Scotland,Runner Up,110
Scotland,Third Place,237
Scotland,Winner,83
Scotland,Semi-final,0
Scotland,Final,0
Senegal,Round of 32,3548
Senegal,Group Stage,3164
Senegal,Third Place,481
Senegal,Round of 16,1636
Senegal,Winner,141
Senegal,Quarter-final,788
Senegal,Runner Up,242
Senegal,Semi-final,0
Senegal,Final,0
South Africa,Round of 32,2618
South Africa,Group Stage,6391
South Africa,Round of 16,679
South Africa,Quarter-final,209
South Africa,Third Place,81
South Africa,Runner Up,18
South Africa,Winner,4
South Africa,Semi-final,0
South Africa,Final,0
South Korea,Round of 32,4034
South Korea,Group Stage,2749
South Korea,Round of 16,1676
South Korea,Third Place,403
South Korea,Quarter-final,792
South Korea,Runner Up,211
South Korea,Winner,135
South Korea,Semi-final,0
South Korea,Final,0
Spain,Runner Up,569
Spain,Round of 16,2503
Spain,Round of 32,2548
Spain,Winner,1119
Spain,Quarter-final,1782
Spain,Group Stage,386
Spain,Third Place,1093
Spain,Semi-final,0
Spain,Final,0
Sweden,Round of 32,2859
Sweden,Group Stage,5000
Sweden,Round of 16,1410
Sweden,Runner Up,61
Sweden,Quarter-final,452
Sweden,Third Place,183
Sweden,Winner,35
Sweden,Semi-final,0
Sweden,Final,0
Switzerland,Round of 16,2372
Switzerland,Round of 32,4689
Switzerland,Group Stage,988
Switzerland,Third Place,540
Switzerland,Quarter-final,920
Switzerland,Winner,230
Switzerland,Runner Up,261
Switzerland,Semi-final,0
Switzerland,Final,0
Tunisia,Group Stage,4837
Tunisia,Round of 16,1331
Tunisia,Round of 32,3148
Tunisia,Quarter-final,420
Tunisia,Winner,31
Tunisia,Third Place,193
Tunisia,Runner Up,40
Tunisia,Semi-final,0
Tunisia,Final,0
Turkey,Round of 32,3691
Turkey,Quarter-final,988
Turkey,Winner,249
Turkey,Round of 16,2254
Turkey,Group Stage,2109
Turkey,Third Place,457
Turkey,Runner Up,252
Turkey,Semi-final,0
Turkey,Final,0
United States,Group Stage,3110
United States,Round of 16,1787
United States,Round of 32,4067
United States,Quarter-final,652
United States,Third Place,219
United States,Winner,65
United States,Runner Up,100
United States,Semi-final,0
United States,Final,0
Uruguay,Round of 32,3442
Uruguay,Third Place,660
Uruguay,Group Stage,1717
Uruguay,Quarter-final,1345
Uruguay,Round of 16,2323
Uruguay,Winner,243
Uruguay,Runner Up,270
Uruguay,Semi-final,0
Uruguay,Final,0
Uzbekistan,Group Stage,4643
Uzbekistan,Round of 16,1213
Uzbekistan,Round of 32,3118
Uzbekistan,Quarter-final,667
Uzbekistan,Runner Up,98
Uzbekistan,Third Place,213
Uzbekistan,Winner,48
Uzbekistan,Semi-final,0
Uzbekistan,Final,0
